产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
Nike Legacy 91,892651-100,￥159,￥0,白色/煤黑/黑,['均码'],"['专属舒适', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣孔眼，提升透气效果', '后部激光穿孔的魔术贴粘扣设计，打造专属的干爽舒适体验', '产品细节', '面料/前片拼接（正面）：100% 聚酯纤维。前片拼接（背面）：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/煤黑/黑', '款式： 892651-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/kv7cuvxetbdo45lcupui/legacy-91-可调节高尔夫运动帽-8gVL7w.jpg'],可调节高尔夫运动帽,16,mens,1,https://www.nike.com/cn/t/legacy-91-%E5%8F%AF%E8%B0%83%E8%8A%82%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-8gVL7w
Nike ACG,AV4775-416,￥199,￥0,赛车蓝/灯草粉,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 赛车蓝/灯草粉', '款式： AV4775-416']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mflobeul6snurfexieyn/acg-针织帽-nNWB5x.jpg'],针织帽,18,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-416
NikeLab Gyakusou,920401-010,￥459,￥0,黑,['均码'],"['温暖随行', '有效遮阳', '其他细节', '正面添加反光热转印标志，塑就醒目外观', '面料/里料：76% 聚酯纤维/19% 棉/4% 锦纶/1% 其他纤维', '手洗', '显示颜色： 黑', '款式： 920401-010', '关于 NikeLab Gyakusou 系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/eussxvjvbbieistsc1ur/nikelab-gyakusou-男-女针织帽-5RYoxR.jpg'],男/女针织帽,19,mens,1,https://www.nike.com/cn/t/nikelab-gyakusou-%E7%94%B7-%E5%A5%B3%E9%92%88%E7%BB%87%E5%B8%BD-5RYoxR/920401-010
Nike ACG,AV4775-381,￥199,￥0,晶洞水鸭青,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 晶洞水鸭青', '款式： AV4775-381']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ka7vvx1qvafpufp3d7h0/acg-针织帽-nNWB5x.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-381
Nike ACG,AV4775-381,￥199,￥0,晶洞水鸭青,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 晶洞水鸭青', '款式： AV4775-381']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ka7vvx1qvafpufp3d7h0/acg-针织帽-nNWB5x.jpg'],针织帽,18,womens,2,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-381
Nike Sportswear Tailwind ACG Sherpa,AR0497-381,￥229,￥0,晶洞水鸭青/哈瓦那红/黑,['均码'],"['专属舒适', '其他细节', '不易撕裂面料，轻盈耐用', '针织耳部护翼提供出色包覆效果', '可调式背面扣带，定制专属舒适感', '产品细节', '面料：100% 锦纶。下帽檐：100% 聚酯纤维。侧拼接里料：100% 聚酯纤维。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 晶洞水鸭青/哈瓦那红/黑', '款式： AR0497-381']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c4obgho976fstaypzqyp/sportswear-tailwind-acg-sherpa-可调节运动帽-ZW1kCQ.jpg'],可调节运动帽,21,mens,1,https://www.nike.com/cn/t/sportswear-tailwind-acg-sherpa-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZW1kCQ/AR0497-381
NikeLab H86,BV3032-100,￥229,￥0,白色/黑,['均码'],"['经典邂逅灯芯绒', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑', '款式： BV3032-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/nh1c6to35tysctxgvtuj/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,22,womens,2,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-100
NikeLab H86,BV3032-100,￥229,￥0,白色/黑,['均码'],"['经典邂逅灯芯绒', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑', '款式： BV3032-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/nh1c6to35tysctxgvtuj/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,22,mens,1,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-100
Nike ACG,BV1050-297,￥269,￥0,杏茶色/顶峰白,['均码'],"['柔软保暖，都市和探险两相宜', '其他细节', '针织面料，柔软保暖', '背面扣合设计，可供自由调节贴合效果', '产品细节', '刺绣图案', '面料：100% 聚酯纤维。里料：65%聚酯纤维/35%棉。', '手洗', '显示颜色： 杏茶色/顶峰白', '款式： BV1050-297']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c7idg0hoox9suukvx11j/acg-可调节运动帽-LP4Hh7.jpg'],可调节运动帽,26,womens,2,https://www.nike.com/cn/t/acg-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-LP4Hh7/BV1050-297
Nike NRG AW84,882767-100,￥229,￥0,白色/黑,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑', '款式： 882767-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/qfsdnsadv9uhadwsym2l/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,24,mens,1,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-100
NikeLab H86,BV3032-010,￥229,￥0,黑/白,['均码'],"['经典邂逅灯芯绒', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/白色', '款式： BV3032-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/go4fwtyqpk88njab10kh/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,22,womens,2,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-010
NikeLab H86,BV3032-010,￥229,￥0,黑/白,['均码'],"['经典邂逅灯芯绒', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/白色', '款式： BV3032-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/go4fwtyqpk88njab10kh/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,22,mens,1,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-010
Nike NRG AW84,882767-439,￥229,￥0,钴蓝色/黑,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 钴蓝色/黑', '款式： 882767-439']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mrjgvs787lny3tzekwrx/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,24,mens,1,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-439
Nike ACG,BV1050-297,￥269,￥0,杏茶色/顶峰白,['均码'],"['柔软保暖，都市和探险两相宜', '其他细节', '针织面料，柔软保暖', '背面扣合设计，可供自由调节贴合效果', '产品细节', '刺绣图案', '面料：100% 聚酯纤维。里料：65%聚酯纤维/35%棉。', '手洗', '显示颜色： 杏茶色/顶峰白', '款式： BV1050-297']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c7idg0hoox9suukvx11j/acg-可调节运动帽-LP4Hh7.jpg'],可调节运动帽,25,mens,1,https://www.nike.com/cn/t/acg-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-LP4Hh7/BV1050-297
Nike NRG AW84 Spectrum QS,BV3959-547,￥229,￥0,庭紫,['均码'],"['强力速干，出色包覆', '其他细节', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，耐用舒适', '产品细节', '面料/里料：100% 聚酯纤维。\xa0', '手洗', '显示颜色： 庭紫', '款式： BV3959-547']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ssrctghfsrgsuqu7nppx/nrg-aw84-spectrum-qs-可调节运动帽-G0FLXl.jpg'],可调节运动帽,28,womens,2,https://www.nike.com/cn/t/nrg-aw84-spectrum-qs-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-G0FLXl/BV3959-547
Nike ACG Tailwind,BV1045-666,￥249,￥0,灯草粉/欧皮特黄,['均码'],"['时尚设计，轻盈舒适', '其他细节', '塔夫绸面料，轻盈顺滑', '可调式背面扣带，打造个性贴合体验', '产品细节', '刺绣图案', '面料：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 灯草粉/欧皮特黄', '款式： BV1045-666']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/p8oc2lhtgvmzwkrztgrr/acg-tailwind-可调节运动帽-ZCWVZP.jpg'],可调节运动帽,29,womens,2,https://www.nike.com/cn/t/acg-tailwind-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZCWVZP/BV1045-666
Nike ACG Tailwind,BV1045-010,￥249,￥0,黑/煤黑,['均码'],"['时尚设计，轻盈舒适', '其他细节', '塔夫绸面料，轻盈顺滑', '可调式背面扣带，打造个性贴合体验', '产品细节', '刺绣图案', '面料：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/煤黑', '款式： BV1045-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/nbagtbdx9qzauu0lxra6/acg-tailwind-可调节运动帽-ZCWVZP.jpg'],可调节运动帽,29,womens,2,https://www.nike.com/cn/t/acg-tailwind-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZCWVZP/BV1045-010
Nike NRG AW84 Spectrum QS,BV3959-455,￥229,￥0,深宝蓝,['均码'],"['强力速干，出色包覆', '其他细节', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，耐用舒适', '产品细节', '面料/里料：100% 聚酯纤维。\xa0', '手洗', '显示颜色： 深宝蓝', '款式： BV3959-455']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/isqr4lodmvn8mz3tafvz/nrg-aw84-spectrum-qs-可调节运动帽-G0FLXl.jpg'],可调节运动帽,27,mens,1,https://www.nike.com/cn/t/nrg-aw84-spectrum-qs-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-G0FLXl/BV3959-455
Nike ACG Tailwind,BV1045-666,￥249,￥0,灯草粉/欧皮特黄,['均码'],"['时尚设计，轻盈舒适', '其他细节', '塔夫绸面料，轻盈顺滑', '可调式背面扣带，打造个性贴合体验', '产品细节', '刺绣图案', '面料：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 灯草粉/欧皮特黄', '款式： BV1045-666']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/p8oc2lhtgvmzwkrztgrr/acg-tailwind-可调节运动帽-ZCWVZP.jpg'],可调节运动帽,28,mens,1,https://www.nike.com/cn/t/acg-tailwind-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZCWVZP/BV1045-666
Nike Sportswear Tailwind Floral,AV6717-010,￥229,￥0,黑,['均码'],"['花卉魅力', '其他细节', '聚酯纤维面料，轻盈透气', '背面扣带搭配夹扣设计，打造稳固的个性化贴合感', '正面饰有丝网印制的 Nike 块状标志', '花卉印花设计，带来别样街头风采', '产品细节', '面料：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑', '款式： AV6717-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fzow2qfsdh6v0krvsjc8/sportswear-tailwind-floral-可调节运动帽-BJ1Lmt.jpg'],可调节运动帽,32,womens,2,https://www.nike.com/cn/t/sportswear-tailwind-floral-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-BJ1Lmt/AV6717-010
Nike Sportswear Tailwind Floral,AV6717-072,￥229,￥0,浅骨,['均码'],"['花卉魅力', '其他细节', '聚酯纤维面料，轻盈透气', '背面扣带搭配夹扣设计，打造稳固的个性化贴合感', '正面饰有丝网印制的 Nike 块状标志', '花卉印花设计，带来别样街头风采', '产品细节', '面料：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 浅骨色', '款式： AV6717-072']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/jksckzpjzvzi8e6isbiv/sportswear-tailwind-floral-可调节运动帽-BJ1Lmt.jpg'],可调节运动帽,30,mens,1,https://www.nike.com/cn/t/sportswear-tailwind-floral-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-BJ1Lmt/AV6717-072
Nike NRG AW84 Spectrum QS,BV3959-547,￥229,￥0,庭紫,['均码'],"['强力速干，出色包覆', '其他细节', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，耐用舒适', '产品细节', '面料/里料：100% 聚酯纤维。\xa0', '手洗', '显示颜色： 庭紫', '款式： BV3959-547']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ssrctghfsrgsuqu7nppx/nrg-aw84-spectrum-qs-可调节运动帽-G0FLXl.jpg'],可调节运动帽,27,mens,1,https://www.nike.com/cn/t/nrg-aw84-spectrum-qs-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-G0FLXl/BV3959-547
Nike ACG Tailwind,BV1045-010,￥249,￥0,黑/煤黑,['均码'],"['时尚设计，轻盈舒适', '其他细节', '塔夫绸面料，轻盈顺滑', '可调式背面扣带，打造个性贴合体验', '产品细节', '刺绣图案', '面料：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/煤黑', '款式： BV1045-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/nbagtbdx9qzauu0lxra6/acg-tailwind-可调节运动帽-ZCWVZP.jpg'],可调节运动帽,28,mens,1,https://www.nike.com/cn/t/acg-tailwind-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZCWVZP/BV1045-010
Nike ACG Tailwind,BV1045-121,￥249,￥0,顶峰白/赛车蓝,['均码'],"['时尚设计，轻盈舒适', '其他细节', '塔夫绸面料，轻盈顺滑', '可调式背面扣带，打造个性贴合体验', '产品细节', '刺绣图案', '面料：100% 锦纶。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 顶峰白/赛车蓝', '款式： BV1045-121']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/aoldo7ygq6hj95lidbo2/acg-tailwind-可调节运动帽-ZCWVZP.jpg'],可调节运动帽,28,mens,1,https://www.nike.com/cn/t/acg-tailwind-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZCWVZP/BV1045-121
Nike F.C. Classic 99,AJ6511-010,￥199,￥0,黑/黑,['均码'],"['休闲舒适', '其他细节', '经典六片式拼接设计，结实耐久', '可调节按扣式扣带，定制专属舒适感', '刺绣孔眼和网眼后拼接设计，提升透气性', '产品细节', '面料：前片拼接（正面）/帽檐：100% 棉。前片拼接（背面）/侧拼接/后拼接：100% 聚酯纤维。', '手洗', '显示颜色： 黑/黑', '款式： AJ6511-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/yknq5ij12hwzrvi5rpvt/f-c-classic-99-可调节运动帽-ls06tM.jpg'],可调节运动帽,32,mens,1,https://www.nike.com/cn/t/f-c-classic-99-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ls06tM
Nike Sportswear Pro Swoosh,639534-728,￥199,￥0,阿马里洛黄/黑曜石色/黑曜石,['均码'],"['现代风范，专属舒适体验', '其他细节', '六片式拼接设计搭配衬里镶边，塑就舒适穿戴感受', '刺绣孔眼提升透气效果', '可调节背面按扣，打造专属贴合感', '产品细节', '正面添加刺绣 Swoosh 标志', '面料/前片拼接（正面）：100% 聚酯纤维。前片拼接（背面）：80% 聚酯纤维/20% 棉。下帽檐：100% 棉。', '手洗', '显示颜色： 阿马里洛黄/黑曜石色/黑曜石色', '款式： 639534-728']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mwrqvsnfnnjwwaqkia72/sportswear-pro-swoosh-可调节运动帽-48k3bx.jpg'],可调节运动帽,33,mens,1,https://www.nike.com/cn/t/sportswear-pro-swoosh-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-48k3bx
